Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.030709,0,-0.006079,-0.006079
2,0.030698,0,-0.00609,-0.012169
3,0.030701,0,-0.006087,-0.018256
4,0.030715,0,-0.006073,-0.024329
5,0.030737,0,-0.006051,-0.03038
6,0.030825,0,-0.005963,-0.036343
7,0.030697,0,-0.006091,-0.042434
8,0.030666,0,-0.006122,-0.048556
9,0.030756,0,-0.006032,-0.054588
10,0.03091,0,-0.005878,-0.060466
11,0.030608,0,-0.00618,-0.066647
12,0.030684,0,-0.006104,-0.072751
13,0.030653,0,-0.006135,-0.078886
14,0.030719,0,-0.006069,-0.084956
15,0.030696,0,-0.006093,-0.091048
16,0.030643,0,-0.006145,-0.097194
17,0.030683,0,-0.006105,-0.103299
18,0.030592,0,-0.006196,-0.109495
19,0.0307,0,-0.006088,-0.115583
20,0.030726,0,-0.006063,-0.121646
21,0.030684,0,-0.006104,-0.12775
22,0.030555,0,-0.006233,-0.133983
23,0.030531,0,-0.006257,-0.14024
24,0.030719,0,-0.006069,-0.146309
25,0.030716,0,-0.006072,-0.15238
26,0.030577,0,-0.006211,-0.158591
27,0.030577,0,-0.006211,-0.164803
28,0.0307,0,-0.006089,-0.170891
29,0.03071,0,-0.006078,-0.176969
30,0.030577,0,-0.006211,-0.18318
31,0.030645,0,-0.006143,-0.189323
32,0.03058,0,-0.006209,-0.195531
33,0.030612,0,-0.006176,-0.201707
34,0.030683,0,-0.006105,-0.207812
35,0.030573,0,-0.006215,-0.214027
36,0.030602,0,-0.006186,-0.220213
37,0.030672,0,-0.006116,-0.226329
38,0.030661,0,-0.006127,-0.232457
39,0.030635,0,-0.006153,-0.23861
40,0.030641,0,-0.006147,-0.244757
41,0.030595,0,-0.006193,-0.250949
42,0.030601,0,-0.006187,-0.257137
43,0.030729,0,-0.00606,-0.263196
44,0.030715,0,-0.006074,-0.26927
45,0.030759,0,-0.006029,-0.275299
46,0.030619,0,-0.006169,-0.281467
47,0.030605,0,-0.006183,-0.28765
48,0.03062,0,-0.006168,-0.293818
49,0.030724,0,-0.006064,-0.299883
50,0.030658,0,-0.00613,-0.306013
51,0.030642,0,-0.006146,-0.312158
52,0.030617,0,-0.006171,-0.318329
53,0.030602,0,-0.006186,-0.324515
54,0.03063,0,-0.006159,-0.330674
55,0.030681,0,-0.006107,-0.33678
56,0.030665,0,-0.006123,-0.342903
57,0.030763,0,-0.006025,-0.348928
58,0.030687,0,-0.006101,-0.355029
59,0.030731,0,-0.006057,-0.361086
60,0.030836,0,-0.005952,-0.367038
61,0.030624,0,-0.006165,-0.373203
62,0.030707,0,-0.006081,-0.379284
63,0.030634,0,-0.006154,-0.385438
64,0.030607,0,-0.006181,-0.391619
65,0.030676,0,-0.006112,-0.397731
66,0.030652,0,-0.006136,-0.403867
67,0.030641,0,-0.006147,-0.410015
68,0.030683,0,-0.006105,-0.41612
69,0.030633,0,-0.006155,-0.422275
70,0.030648,0,-0.00614,-0.428415
71,0.030674,0,-0.006114,-0.434529
72,0.030557,0,-0.006231,-0.44076
73,0.030661,0,-0.006127,-0.446887
74,0.030783,0,-0.006005,-0.452892
75,0.030817,0,-0.005971,-0.458863
76,0.030651,0,-0.006137,-0.465001
77,0.03072,0,-0.006068,-0.471069
78,0.030594,0,-0.006194,-0.477263
79,0.030649,0,-0.006139,-0.483402
80,0.03066,0,-0.006128,-0.489531
81,0.030728,0,-0.00606,-0.495591
82,0.030611,0,-0.006177,-0.501768
83,0.030617,0,-0.006171,-0.507939
84,0.030752,0,-0.006036,-0.513975
85,0.030654,0,-0.006135,-0.520109
86,0.030689,0,-0.006099,-0.526209
87,0.030716,0,-0.006072,-0.532281
88,0.030582,0,-0.006206,-0.538487
89,0.030916,0,-0.005872,-0.544359
90,0.030669,0,-0.006119,-0.550478
91,0.030606,0,-0.006182,-0.55666
92,0.030777,0,-0.006011,-0.562671
93,0.030545,0,-0.006243,-0.568914
94,0.030526,0,-0.006262,-0.575176
95,0.030673,0,-0.006115,-0.581291
96,0.030646,0,-0.006142,-0.587434
97,0.030567,0,-0.006221,-0.593655
98,0.030603,0,-0.006185,-0.59984
99,0.030601,0,-0.006187,-0.606027
100,0.030716,0,-0.006072,-0.612099
