Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.190386,0,-0.037705,-0.037705
2,0.19022,0,-0.037871,-0.075576
3,0.190152,0,-0.037939,-0.113515
4,0.190381,0,-0.03771,-0.151225
5,0.190441,0,-0.037651,-0.188875
6,0.190304,0,-0.037787,-0.226662
7,0.190237,0,-0.037854,-0.264516
8,0.190344,0,-0.037747,-0.302263
9,0.190228,0,-0.037863,-0.340126
10,0.190202,0,-0.037889,-0.378015
11,0.19027,0,-0.037821,-0.415836
12,0.190172,0,-0.037919,-0.453755
13,0.190234,0,-0.037858,-0.491612
14,0.190174,0,-0.037917,-0.529529
15,0.190313,0,-0.037778,-0.567308
16,0.190328,0,-0.037763,-0.60507
17,0.190242,0,-0.037849,-0.642919
18,0.19023,0,-0.037861,-0.68078
19,0.190077,0,-0.038014,-0.718793
20,0.190425,0,-0.037666,-0.75646
21,0.190217,0,-0.037874,-0.794334
22,0.190352,0,-0.037739,-0.832072
23,0.190128,0,-0.037963,-0.870036
24,0.19041,0,-0.037681,-0.907717
25,0.190628,0,-0.037463,-0.94518
26,0.190217,0,-0.037874,-0.983054
27,0.190345,0,-0.037746,-1.0208
28,0.19025,0,-0.037841,-1.058641
29,0.19044,0,-0.037651,-1.096292
30,0.190318,0,-0.037773,-1.134064
31,0.190156,0,-0.037935,-1.172
32,0.190341,0,-0.03775,-1.20975
33,0.190243,0,-0.037849,-1.247599
34,0.190363,0,-0.037728,-1.285326
35,0.190039,0,-0.038052,-1.323378
36,0.190215,0,-0.037876,-1.361254
37,0.19023,0,-0.037861,-1.399116
38,0.190425,0,-0.037666,-1.436781
39,0.190178,0,-0.037913,-1.474694
40,0.190123,0,-0.037969,-1.512663
41,0.190258,0,-0.037833,-1.550496
42,0.19049,0,-0.037601,-1.588097
43,0.19028,0,-0.037811,-1.625908
44,0.190362,0,-0.03773,-1.663638
45,0.190457,0,-0.037634,-1.701272
46,0.190319,0,-0.037772,-1.739043
47,0.19029,0,-0.037801,-1.776845
48,0.190433,0,-0.037658,-1.814503
49,0.190246,0,-0.037845,-1.852348
50,0.190341,0,-0.03775,-1.890098
51,0.190467,0,-0.037625,-1.927722
52,0.190381,0,-0.037711,-1.965433
53,0.19053,0,-0.037561,-2.002994
54,0.190283,0,-0.037808,-2.040802
55,0.190433,0,-0.037658,-2.07846
56,0.190396,0,-0.037695,-2.116155
57,0.190614,0,-0.037477,-2.153632
58,0.190161,0,-0.03793,-2.191562
59,0.19016,0,-0.037931,-2.229493
60,0.190141,0,-0.03795,-2.267443
61,0.190329,0,-0.037762,-2.305206
62,0.190233,0,-0.037858,-2.343064
63,0.19037,0,-0.037721,-2.380785
64,0.190299,0,-0.037792,-2.418577
65,0.190285,0,-0.037806,-2.456384
66,0.190233,0,-0.037858,-2.494241
67,0.190207,0,-0.037884,-2.532125
68,0.190419,0,-0.037673,-2.569798
69,0.190259,0,-0.037832,-2.60763
70,0.190353,0,-0.037738,-2.645368
71,0.190387,0,-0.037704,-2.683072
72,0.190248,0,-0.037843,-2.720915
73,0.190593,0,-0.037498,-2.758413
74,0.190495,0,-0.037596,-2.796009
75,0.190339,0,-0.037752,-2.833761
76,0.190237,0,-0.037854,-2.871615
77,0.190337,0,-0.037754,-2.90937
78,0.190326,0,-0.037765,-2.947134
79,0.190345,0,-0.037746,-2.98488
80,0.190154,0,-0.037937,-3.022817
81,0.190112,0,-0.037979,-3.060796
82,0.190437,0,-0.037654,-3.09845
83,0.190262,0,-0.037829,-3.136279
84,0.190419,0,-0.037672,-3.173951
85,0.190383,0,-0.037708,-3.211659
86,0.190201,0,-0.03789,-3.249549
87,0.190333,0,-0.037758,-3.287307
88,0.190355,0,-0.037736,-3.325043
89,0.190326,0,-0.037765,-3.362808
90,0.190455,0,-0.037636,-3.400444
91,0.190409,0,-0.037683,-3.438127
92,0.190325,0,-0.037766,-3.475893
93,0.190286,0,-0.037805,-3.513698
94,0.190328,0,-0.037763,-3.551461
95,0.190217,0,-0.037874,-3.589335
96,0.190209,0,-0.037882,-3.627217
97,0.190178,0,-0.037913,-3.66513
98,0.190271,0,-0.03782,-3.70295
99,0.190529,0,-0.037563,-3.740512
100,0.190375,0,-0.037716,-3.778228
