Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.007801,0,-0.001485,-0.001485
2,0.007769,0,-0.001517,-0.003002
3,0.007848,0,-0.001437,-0.004439
4,0.007754,0,-0.001532,-0.005971
5,0.007761,0,-0.001525,-0.007496
6,0.00784,0,-0.001445,-0.008941
7,0.007749,0,-0.001537,-0.010478
8,0.007772,0,-0.001514,-0.011992
9,0.007757,0,-0.001529,-0.013521
10,0.007801,0,-0.001485,-0.015005
11,0.007861,0,-0.001425,-0.016431
12,0.007769,0,-0.001517,-0.017948
13,0.007854,0,-0.001431,-0.019379
14,0.007848,0,-0.001438,-0.020817
15,0.007884,0,-0.001401,-0.022218
16,0.00781,0,-0.001476,-0.023694
17,0.007648,0,-0.001638,-0.025332
18,0.007847,0,-0.001439,-0.026771
19,0.007778,0,-0.001508,-0.028279
20,0.007849,0,-0.001437,-0.029716
21,0.007812,0,-0.001474,-0.031189
22,0.007794,0,-0.001492,-0.032681
23,0.007837,0,-0.001449,-0.03413
24,0.007862,0,-0.001424,-0.035554
25,0.007798,0,-0.001487,-0.037042
26,0.007643,0,-0.001643,-0.038684
27,0.007882,0,-0.001403,-0.040088
28,0.007796,0,-0.00149,-0.041577
29,0.007816,0,-0.00147,-0.043047
30,0.007769,0,-0.001517,-0.044564
31,0.007914,0,-0.001371,-0.045936
32,0.007779,0,-0.001507,-0.047442
33,0.00784,0,-0.001446,-0.048888
34,0.007823,0,-0.001462,-0.050351
35,0.007823,0,-0.001462,-0.051813
36,0.007778,0,-0.001508,-0.053321
37,0.00787,0,-0.001415,-0.054736
38,0.00785,0,-0.001436,-0.056173
39,0.007825,0,-0.001461,-0.057633
40,0.00772,0,-0.001566,-0.059199
41,0.007804,0,-0.001481,-0.060681
42,0.00781,0,-0.001476,-0.062157
43,0.007828,0,-0.001458,-0.063615
44,0.007851,0,-0.001434,-0.065049
45,0.007746,0,-0.00154,-0.066589
46,0.007797,0,-0.001489,-0.068078
47,0.007863,0,-0.001422,-0.0695
48,0.007849,0,-0.001437,-0.070937
49,0.007766,0,-0.001519,-0.072456
50,0.007743,0,-0.001543,-0.073999
51,0.00775,0,-0.001536,-0.075535
52,0.007874,0,-0.001412,-0.076947
53,0.007832,0,-0.001454,-0.078401
54,0.007783,0,-0.001503,-0.079904
55,0.007871,0,-0.001415,-0.081318
56,0.007598,0,-0.001687,-0.083006
57,0.007817,0,-0.001469,-0.084475
58,0.007791,0,-0.001495,-0.08597
59,0.007811,0,-0.001474,-0.087445
60,0.007795,0,-0.00149,-0.088935
61,0.00784,0,-0.001446,-0.090381
62,0.007671,0,-0.001615,-0.091996
63,0.007788,0,-0.001498,-0.093493
64,0.007825,0,-0.001461,-0.094954
65,0.00781,0,-0.001476,-0.09643
66,0.007739,0,-0.001547,-0.097977
67,0.007717,0,-0.001568,-0.099546
68,0.007794,0,-0.001492,-0.101038
69,0.007818,0,-0.001467,-0.102505
70,0.007917,0,-0.001368,-0.103874
71,0.007853,0,-0.001433,-0.105307
72,0.007744,0,-0.001542,-0.106849
73,0.007681,0,-0.001605,-0.108454
74,0.007792,0,-0.001494,-0.109948
75,0.00784,0,-0.001445,-0.111393
76,0.00781,0,-0.001476,-0.112869
77,0.007787,0,-0.001499,-0.114368
78,0.007735,0,-0.001551,-0.115919
79,0.007876,0,-0.00141,-0.117329
80,0.007873,0,-0.001412,-0.118742
81,0.007859,0,-0.001426,-0.120168
82,0.007812,0,-0.001474,-0.121642
83,0.007738,0,-0.001548,-0.12319
84,0.00779,0,-0.001496,-0.124686
85,0.007821,0,-0.001465,-0.12615
86,0.007882,0,-0.001403,-0.127554
87,0.007877,0,-0.001409,-0.128962
88,0.007806,0,-0.00148,-0.130442
89,0.007699,0,-0.001587,-0.132029
90,0.007892,0,-0.001394,-0.133423
91,0.007906,0,-0.00138,-0.134803
92,0.00782,0,-0.001466,-0.136269
93,0.007948,0,-0.001337,-0.137606
94,0.007751,0,-0.001535,-0.139141
95,0.007724,0,-0.001561,-0.140703
96,0.007793,0,-0.001493,-0.142195
97,0.007915,0,-0.001371,-0.143566
98,0.007775,0,-0.001511,-0.145078
99,0.007826,0,-0.00146,-0.146537
100,0.007925,0,-0.00136,-0.147898
