Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.001861,0,-0.002363,-0.002363
2,0.001759,0,-0.002465,-0.004829
3,0.001856,0,-0.002368,-0.007197
4,0.001877,0,-0.002348,-0.009544
5,0.001891,0,-0.002333,-0.011877
6,0.001749,0,-0.002476,-0.014353
7,0.001911,0,-0.002314,-0.016667
8,0.001875,0,-0.002349,-0.019016
9,0.001885,0,-0.002339,-0.021356
10,0.001832,0,-0.002392,-0.023748
11,0.001856,0,-0.002369,-0.026117
12,0.001837,0,-0.002387,-0.028504
13,0.001902,0,-0.002323,-0.030826
14,0.001901,0,-0.002323,-0.033149
15,0.001863,0,-0.002361,-0.03551
16,0.00186,0,-0.002364,-0.037875
17,0.001881,0,-0.002343,-0.040218
18,0.001917,0,-0.002308,-0.042526
19,0.001882,0,-0.002343,-0.044868
20,0.001781,0,-0.002443,-0.047311
21,0.00192,0,-0.002305,-0.049616
22,0.001898,0,-0.002326,-0.051942
23,0.001879,0,-0.002346,-0.054287
24,0.001806,0,-0.002418,-0.056706
25,0.001892,0,-0.002333,-0.059038
26,0.001858,0,-0.002366,-0.061404
27,0.001893,0,-0.002331,-0.063735
28,0.001929,0,-0.002296,-0.066031
29,0.001866,0,-0.002359,-0.068389
30,0.001746,0,-0.002479,-0.070868
31,0.001875,0,-0.002349,-0.073217
32,0.001874,0,-0.00235,-0.075567
33,0.001879,0,-0.002345,-0.077912
34,0.001882,0,-0.002342,-0.080254
35,0.001912,0,-0.002313,-0.082567
36,0.001887,0,-0.002337,-0.084904
37,0.001899,0,-0.002325,-0.087229
38,0.001911,0,-0.002314,-0.089543
39,0.001807,0,-0.002417,-0.09196
40,0.001842,0,-0.002383,-0.094343
41,0.001862,0,-0.002362,-0.096705
42,0.001896,0,-0.002329,-0.099034
43,0.001888,0,-0.002336,-0.10137
44,0.001858,0,-0.002367,-0.103736
45,0.001835,0,-0.002389,-0.106126
46,0.001928,0,-0.002297,-0.108422
47,0.001863,0,-0.002362,-0.110784
48,0.001888,0,-0.002336,-0.11312
49,0.001816,0,-0.002409,-0.115529
50,0.001756,0,-0.002468,-0.117997
51,0.001852,0,-0.002372,-0.120369
52,0.001891,0,-0.002333,-0.122703
53,0.001829,0,-0.002395,-0.125097
54,0.001881,0,-0.002343,-0.127441
55,0.001789,0,-0.002435,-0.129876
56,0.001855,0,-0.002369,-0.132245
57,0.00183,0,-0.002394,-0.134639
58,0.0019,0,-0.002325,-0.136964
59,0.001783,0,-0.002441,-0.139405
60,0.001862,0,-0.002362,-0.141767
61,0.001825,0,-0.002399,-0.144166
62,0.001907,0,-0.002318,-0.146484
63,0.00186,0,-0.002364,-0.148848
64,0.001882,0,-0.002343,-0.151191
65,0.001948,0,-0.002276,-0.153467
66,0.00186,0,-0.002364,-0.155831
67,0.00188,0,-0.002344,-0.158175
68,0.001877,0,-0.002347,-0.160522
69,0.001843,0,-0.002382,-0.162903
70,0.001875,0,-0.00235,-0.165253
71,0.001923,0,-0.002301,-0.167554
72,0.001849,0,-0.002375,-0.16993
73,0.0019,0,-0.002325,-0.172254
74,0.001885,0,-0.00234,-0.174594
75,0.001889,0,-0.002335,-0.176929
76,0.001851,0,-0.002373,-0.179302
77,0.001851,0,-0.002374,-0.181676
78,0.001873,0,-0.002351,-0.184027
79,0.001845,0,-0.00238,-0.186407
80,0.001913,0,-0.002312,-0.188718
81,0.001874,0,-0.00235,-0.191068
82,0.001885,0,-0.00234,-0.193408
83,0.001846,0,-0.002378,-0.195786
84,0.001887,0,-0.002338,-0.198124
85,0.00187,0,-0.002354,-0.200478
86,0.001877,0,-0.002348,-0.202825
87,0.001933,0,-0.002291,-0.205116
88,0.001873,0,-0.002351,-0.207468
89,0.001901,0,-0.002323,-0.209791
90,0.00189,0,-0.002334,-0.212125
91,0.001898,0,-0.002326,-0.214451
92,0.00186,0,-0.002365,-0.216816
93,0.001794,0,-0.00243,-0.219246
94,0.001778,0,-0.002446,-0.221692
95,0.001896,0,-0.002328,-0.22402
96,0.001844,0,-0.002381,-0.2264
97,0.001887,0,-0.002337,-0.228738
98,0.001871,0,-0.002353,-0.231091
99,0.001885,0,-0.00234,-0.23343
100,0.001902,0,-0.002322,-0.235752
