Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.000668,0,-0.000052,-0.000052
2,0.000622,0,-0.000098,-0.000151
3,0.000613,0,-0.000107,-0.000258
4,0.000624,0,-0.000095,-0.000353
5,0.000638,0,-0.000082,-0.000435
6,0.000594,0,-0.000126,-0.000561
7,0.080375,0.079655,0,0.079094
8,0.000586,0,-0.000134,0.078961
9,0.000601,0,-0.000119,0.078842
10,0.000636,0,-0.000084,0.078758
11,0.00064,0,-0.00008,0.078678
12,0.000634,0,-0.000086,0.078592
13,0.000667,0,-0.000053,0.078539
14,0.000632,0,-0.000088,0.078451
15,0.000639,0,-0.000081,0.07837
16,0.000666,0,-0.000054,0.078316
17,0.000535,0,-0.000185,0.078132
18,0.000554,0,-0.000166,0.077965
19,0.000644,0,-0.000076,0.077889
20,0.000621,0,-0.000099,0.07779
21,0.00063,0,-0.00009,0.0777
22,0.000546,0,-0.000174,0.077526
23,0.000639,0,-0.000081,0.077445
24,0.000635,0,-0.000085,0.077359
25,0.000635,0,-0.000085,0.077274
26,0.000647,0,-0.000073,0.077201
27,0.000619,0,-0.000101,0.0771
28,0.000801,0.000081,0,0.077181
29,0.00064,0,-0.00008,0.0771
30,0.000648,0,-0.000072,0.077029
31,0.000543,0,-0.000177,0.076852
32,0.000539,0,-0.000181,0.076671
33,0.000632,0,-0.000088,0.076583
34,0.000657,0,-0.000063,0.07652
35,0.000654,0,-0.000066,0.076455
36,0.000579,0,-0.000141,0.076314
37,0.000556,0,-0.000163,0.07615
38,0.000645,0,-0.000074,0.076076
39,0.00064,0,-0.00008,0.075996
40,0.000639,0,-0.000081,0.075915
41,0.000625,0,-0.000095,0.07582
42,0.00055,0,-0.00017,0.07565
43,0.000626,0,-0.000094,0.075557
44,0.000646,0,-0.000074,0.075482
45,0.000653,0,-0.000067,0.075416
46,0.000616,0,-0.000104,0.075311
47,0.000544,0,-0.000176,0.075135
48,0.00061,0,-0.00011,0.075026
49,0.000642,0,-0.000078,0.074948
50,0.000645,0,-0.000075,0.074873
51,0.000558,0,-0.000162,0.074711
52,0.000566,0,-0.000154,0.074557
53,0.000675,0,-0.000044,0.074513
54,0.000632,0,-0.000088,0.074425
55,0.000603,0,-0.000117,0.074308
56,0.000625,0,-0.000095,0.074213
57,0.000559,0,-0.000161,0.074052
58,0.000639,0,-0.000081,0.073971
59,0.000623,0,-0.000097,0.073874
60,0.000612,0,-0.000108,0.073766
61,0.000633,0,-0.000087,0.073679
62,0.000557,0,-0.000163,0.073516
63,0.000612,0,-0.000108,0.073407
64,0.000602,0,-0.000118,0.073289
65,0.000644,0,-0.000076,0.073213
66,0.000661,0,-0.000058,0.073155
67,0.000645,0,-0.000075,0.073079
68,0.000641,0,-0.000079,0.073001
69,0.000623,0,-0.000097,0.072904
70,0.000622,0,-0.000098,0.072806
71,0.000615,0,-0.000105,0.072701
72,0.000635,0,-0.000085,0.072616
73,0.00075,0.00003,0,0.072646
74,0.010552,0.009833,0,0.082479
75,0.000648,0,-0.000072,0.082407
76,0.000675,0,-0.000045,0.082362
77,0.000617,0,-0.000103,0.082259
78,0.000638,0,-0.000082,0.082177
79,0.000646,0,-0.000074,0.082103
80,0.000553,0,-0.000167,0.081937
81,0.000904,0.000184,0,0.08212
82,0.000642,0,-0.000078,0.082043
83,0.00062,0,-0.0001,0.081942
84,0.000631,0,-0.000089,0.081853
85,0.000621,0,-0.000098,0.081755
86,0.000634,0,-0.000086,0.081669
87,0.000655,0,-0.000065,0.081604
88,0.000668,0,-0.000052,0.081552
89,0.000636,0,-0.000084,0.081468
90,0.000557,0,-0.000163,0.081305
91,0.000537,0,-0.000183,0.081122
92,0.000623,0,-0.000097,0.081026
93,0.000609,0,-0.000111,0.080915
94,0.000641,0,-0.000079,0.080836
95,0.000638,0,-0.000082,0.080754
96,0.00056,0,-0.00016,0.080594
97,0.000628,0,-0.000092,0.080502
98,0.000636,0,-0.000083,0.080419
99,0.000624,0,-0.000096,0.080323
100,0.000702,0,-0.000018,0.080305
