Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.000471,0,-0.000024,-0.000024
2,0.000431,0,-0.000064,-0.000087
3,0.000422,0,-0.000073,-0.00016
4,0.000451,0,-0.000044,-0.000204
5,0.000449,0,-0.000046,-0.00025
6,0.000437,0,-0.000058,-0.000308
7,0.00045,0,-0.000045,-0.000353
8,0.000437,0,-0.000058,-0.000411
9,0.000431,0,-0.000065,-0.000476
10,0.000442,0,-0.000053,-0.000529
11,0.000378,0,-0.000117,-0.000646
12,0.000403,0,-0.000093,-0.000739
13,0.000458,0,-0.000037,-0.000776
14,0.000444,0,-0.000051,-0.000827
15,0.000426,0,-0.000069,-0.000896
16,0.000433,0,-0.000062,-0.000959
17,0.000422,0,-0.000073,-0.001031
18,0.000425,0,-0.00007,-0.001101
19,0.000432,0,-0.000063,-0.001164
20,0.000427,0,-0.000068,-0.001232
21,0.000414,0,-0.000081,-0.001314
22,0.000418,0,-0.000077,-0.00139
23,0.00043,0,-0.000065,-0.001455
24,0.000437,0,-0.000058,-0.001513
25,0.000444,0,-0.000051,-0.001564
26,0.000429,0,-0.000066,-0.001631
27,0.000437,0,-0.000059,-0.001689
28,0.000442,0,-0.000053,-0.001742
29,0.00045,0,-0.000045,-0.001787
30,0.000441,0,-0.000054,-0.001842
31,0.000447,0,-0.000048,-0.00189
32,0.000442,0,-0.000053,-0.001943
33,0.000445,0,-0.00005,-0.001993
34,0.000458,0,-0.000037,-0.00203
35,0.000403,0,-0.000092,-0.002122
36,0.000413,0,-0.000082,-0.002204
37,0.000454,0,-0.000041,-0.002245
38,0.000433,0,-0.000062,-0.002307
39,0.000449,0,-0.000046,-0.002353
40,0.000411,0,-0.000085,-0.002438
41,0.000444,0,-0.000051,-0.002488
42,0.000442,0,-0.000053,-0.002541
43,0.000461,0,-0.000034,-0.002575
44,0.000424,0,-0.000071,-0.002646
45,0.000378,0,-0.000117,-0.002763
46,0.000403,0,-0.000092,-0.002855
47,0.000401,0,-0.000094,-0.002949
48,0.000448,0,-0.000047,-0.002995
49,0.00045,0,-0.000045,-0.003041
50,0.000433,0,-0.000062,-0.003102
51,0.000435,0,-0.00006,-0.003162
52,0.000439,0,-0.000056,-0.003218
53,0.00045,0,-0.000045,-0.003263
54,0.000444,0,-0.000052,-0.003315
55,0.00045,0,-0.000045,-0.003359
56,0.000392,0,-0.000103,-0.003463
57,0.000435,0,-0.00006,-0.003523
58,0.00044,0,-0.000055,-0.003578
59,0.000557,0.000061,0,-0.003517
60,0.000466,0,-0.000029,-0.003546
61,0.000388,0,-0.000107,-0.003653
62,0.000428,0,-0.000067,-0.00372
63,0.000443,0,-0.000053,-0.003773
64,0.000427,0,-0.000068,-0.003841
65,0.000454,0,-0.000041,-0.003882
66,0.000474,0,-0.000021,-0.003903
67,0.00037,0,-0.000126,-0.004029
68,0.000414,0,-0.000081,-0.00411
69,0.000562,0.000067,0,-0.004043
70,0.000445,0,-0.000051,-0.004093
71,0.000452,0,-0.000043,-0.004137
72,0.000442,0,-0.000053,-0.004189
73,0.000393,0,-0.000102,-0.004291
74,0.000441,0,-0.000054,-0.004346
75,0.000442,0,-0.000053,-0.004399
76,0.000415,0,-0.00008,-0.004479
77,0.000468,0,-0.000027,-0.004506
78,0.000432,0,-0.000063,-0.004569
79,0.000455,0,-0.00004,-0.004609
80,0.000448,0,-0.000047,-0.004656
81,0.000451,0,-0.000044,-0.0047
82,0.000442,0,-0.000053,-0.004753
83,0.000412,0,-0.000083,-0.004837
84,0.000448,0,-0.000047,-0.004883
85,0.000456,0,-0.000039,-0.004922
86,0.000459,0,-0.000036,-0.004959
87,0.00045,0,-0.000045,-0.005004
88,0.000453,0,-0.000042,-0.005047
89,0.000385,0,-0.00011,-0.005157
90,0.000387,0,-0.000108,-0.005264
91,0.000452,0,-0.000043,-0.005307
92,0.000439,0,-0.000056,-0.005363
93,0.000468,0,-0.000027,-0.00539
94,0.000455,0,-0.00004,-0.00543
95,0.000442,0,-0.000053,-0.005483
96,0.000459,0,-0.000036,-0.00552
97,0.000451,0,-0.000044,-0.005564
98,0.000446,0,-0.000049,-0.005612
99,0.000448,0,-0.000047,-0.005659
100,0.000445,0,-0.00005,-0.005709
