Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.003683,0,-0.000626,-0.000626
2,0.003572,0,-0.000737,-0.001363
3,0.003671,0,-0.000638,-0.002001
4,0.003592,0,-0.000717,-0.002718
5,0.00361,0,-0.000699,-0.003417
6,0.003621,0,-0.000688,-0.004105
7,0.003562,0,-0.000747,-0.004853
8,0.003671,0,-0.000638,-0.005491
9,0.003668,0,-0.000641,-0.006132
10,0.003588,0,-0.000721,-0.006853
11,0.003604,0,-0.000705,-0.007557
12,0.003553,0,-0.000756,-0.008313
13,0.003638,0,-0.000671,-0.008984
14,0.003615,0,-0.000694,-0.009678
15,0.003651,0,-0.000658,-0.010336
16,0.003615,0,-0.000694,-0.011031
17,0.003585,0,-0.000724,-0.011755
18,0.003589,0,-0.00072,-0.012475
19,0.003642,0,-0.000667,-0.013141
20,0.003575,0,-0.000734,-0.013875
21,0.003608,0,-0.000701,-0.014576
22,0.003611,0,-0.000698,-0.015274
23,0.003701,0,-0.000608,-0.015881
24,0.003639,0,-0.00067,-0.016551
25,0.003586,0,-0.000723,-0.017275
26,0.003662,0,-0.000647,-0.017922
27,0.003618,0,-0.000691,-0.018613
28,0.003598,0,-0.000711,-0.019324
29,0.00355,0,-0.000759,-0.020084
30,0.003654,0,-0.000655,-0.020739
31,0.003657,0,-0.000652,-0.02139
32,0.003608,0,-0.000701,-0.022092
33,0.003561,0,-0.000748,-0.02284
34,0.003576,0,-0.000733,-0.023573
35,0.003612,0,-0.000697,-0.024269
36,0.003643,0,-0.000666,-0.024935
37,0.003623,0,-0.000686,-0.025621
38,0.003648,0,-0.000661,-0.026283
39,0.003613,0,-0.000696,-0.026978
40,0.003604,0,-0.000705,-0.027683
41,0.003617,0,-0.000692,-0.028375
42,0.003745,0,-0.000564,-0.028939
43,0.003908,0,-0.000401,-0.029341
44,0.003573,0,-0.000736,-0.030077
45,0.003597,0,-0.000712,-0.030788
46,0.0036,0,-0.000709,-0.031498
47,0.003658,0,-0.000651,-0.032149
48,0.003665,0,-0.000644,-0.032793
49,0.003846,0,-0.000463,-0.033255
50,0.003643,0,-0.000666,-0.033921
51,0.003703,0,-0.000606,-0.034528
52,0.003675,0,-0.000634,-0.035162
53,0.003628,0,-0.000681,-0.035844
54,0.003647,0,-0.000662,-0.036506
55,0.00363,0,-0.000679,-0.037185
56,0.003638,0,-0.000671,-0.037857
57,0.003584,0,-0.000725,-0.038581
58,0.003629,0,-0.00068,-0.039262
59,0.003609,0,-0.0007,-0.039962
60,0.003573,0,-0.000736,-0.040698
61,0.003752,0,-0.000557,-0.041255
62,0.003585,0,-0.000724,-0.041978
63,0.003625,0,-0.000684,-0.042662
64,0.003661,0,-0.000648,-0.04331
65,0.003596,0,-0.000713,-0.044024
66,0.00359,0,-0.000719,-0.044743
67,0.003599,0,-0.00071,-0.045453
68,0.003648,0,-0.000661,-0.046114
69,0.003619,0,-0.00069,-0.046804
70,0.003573,0,-0.000736,-0.047539
71,0.003582,0,-0.000727,-0.048266
72,0.003625,0,-0.000684,-0.04895
73,0.003684,0,-0.000625,-0.049575
74,0.003604,0,-0.000705,-0.05028
75,0.003605,0,-0.000704,-0.050983
76,0.003607,0,-0.000702,-0.051686
77,0.003675,0,-0.000634,-0.05232
78,0.0037,0,-0.000609,-0.052929
79,0.003646,0,-0.000663,-0.053592
80,0.003472,0,-0.000837,-0.054429
81,0.003603,0,-0.000706,-0.055135
82,0.003646,0,-0.000663,-0.055798
83,0.003637,0,-0.000672,-0.05647
84,0.003705,0,-0.000604,-0.057074
85,0.003635,0,-0.000674,-0.057748
86,0.003636,0,-0.000673,-0.058421
87,0.003657,0,-0.000652,-0.059073
88,0.003618,0,-0.000691,-0.059764
89,0.003678,0,-0.000631,-0.060395
90,0.003622,0,-0.000687,-0.061082
91,0.003523,0,-0.000786,-0.061868
92,0.00365,0,-0.000659,-0.062528
93,0.003688,0,-0.000621,-0.063149
94,0.003629,0,-0.00068,-0.063829
95,0.003612,0,-0.000697,-0.064526
96,0.003647,0,-0.000662,-0.065188
97,0.003607,0,-0.000702,-0.06589
98,0.003642,0,-0.000667,-0.066557
99,0.003639,0,-0.00067,-0.067226
100,0.003582,0,-0.000727,-0.067954
