S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
0,1566064839.702255,1566064839.717200,14.945507,0.000000
1,1566064840.702240,1566064840.717064,14.824152,0.014782
2,1566064841.702240,1566064841.717046,14.806509,-0.000238
3,1566064842.702203,1566064842.717111,14.908075,0.036955
4,1566064843.702193,1566064843.717117,14.924049,0.010252
5,1566064844.702238,1566064844.717060,14.822245,-0.045061
6,1566064845.702204,1566064845.717136,14.931917,0.033379
7,1566064846.702242,1566064846.717059,14.816523,-0.037670
8,1566064847.702200,1566064847.717153,14.952660,0.041962
9,1566064848.702204,1566064848.717082,14.877558,-0.004292
10,1566064849.702250,1566064849.717140,14.890432,-0.045538
11,1566064850.702194,1566064850.717104,14.909506,0.055790
12,1566064851.702203,1566064851.717068,14.865398,-0.008821
13,1566064852.702248,1566064852.717239,14.990807,-0.045300
14,1566064853.702201,1566064853.717067,14.865875,0.046968
15,1566064854.702199,1566064854.717093,14.894485,0.002384
16,1566064855.702241,1566064855.717055,14.813423,-0.042439
17,1566064856.702197,1566064856.717085,14.887333,0.044107
18,1566064857.702237,1566064857.717063,14.826059,-0.040054
19,1566064858.702204,1566064858.717134,14.930725,0.033855
20,1566064859.702193,1566064859.717017,14.824629,0.010967
21,1566064860.702247,1566064860.717227,14.980316,-0.054359
22,1566064861.702242,1566064861.717046,14.803886,0.005245
23,1566064862.702243,1566064862.717163,14.919996,-0.001669
24,1566064863.702228,1566064863.717048,14.820576,0.015497
25,1566064864.702238,1566064864.717134,14.895678,-0.010014
26,1566064865.702227,1566064865.717029,14.802694,0.011206
27,1566064866.702209,1566064866.717100,14.891148,0.017881
28,1566064867.702237,1566064867.717047,14.809847,-0.028372
29,1566064868.702190,1566064868.716996,14.805317,0.046730
30,1566064869.702194,1566064869.717036,14.841318,-0.003815
31,1566064870.702238,1566064870.717043,14.804363,-0.044107
32,1566064871.702201,1566064871.717373,15.172005,0.037432
33,1566064872.702241,1566064872.717065,14.823914,-0.040531
34,1566064873.702195,1566064873.717152,14.957666,0.046730
35,1566064874.702243,1566064874.717054,14.811277,-0.048399
36,1566064875.702246,1566064875.717170,14.923811,-0.002861
37,1566064876.702247,1566064876.717067,14.820099,-0.001431
38,1566064877.702252,1566064877.717231,14.978886,-0.005007
39,1566064878.702240,1566064878.717045,14.805794,0.012875
40,1566064879.702240,1566064879.717218,14.977932,-0.000954
41,1566064880.702239,1566064880.717044,14.805317,0.001669
42,1566064881.702252,1566064881.717140,14.887333,-0.013590
43,1566064882.702191,1566064882.717009,14.817715,0.061035
44,1566064883.702248,1566064883.717141,14.893055,-0.056267
45,1566064884.702241,1566064884.717062,14.821053,0.006437
46,1566064885.702254,1566064885.717157,14.902830,-0.012875
47,1566064886.702229,1566064886.717080,14.851809,0.025511
48,1566064887.702244,1566064887.717186,14.942408,-0.015259
49,1566064888.702239,1566064888.717041,14.801741,0.004530
50,1566064889.702246,1566064889.717129,14.883518,-0.006676
51,1566064890.702238,1566064890.717063,14.824867,0.008106
52,1566064891.702255,1566064891.717156,14.901400,-0.017166
53,1566064892.702193,1566064892.716988,14.795065,0.062466
54,1566064893.702246,1566064893.717114,14.867783,-0.053406
55,1566064894.702236,1566064894.717045,14.809608,0.010252
56,1566064895.702195,1566064895.717128,14.932871,0.040293
57,1566064896.702238,1566064896.717066,14.827967,-0.042200
58,1566064897.702248,1566064897.717135,14.887094,-0.010729
59,1566064898.702244,1566064898.717037,14.793396,0.004768
60,1566064899.702197,1566064899.717033,14.836550,0.046968
61,1566064900.702240,1566064900.717060,14.819860,-0.043154
62,1566064901.702194,1566064901.717078,14.883757,0.045538
63,1566064902.702240,1566064902.717082,14.841080,-0.046253
64,1566064903.702199,1566064903.717035,14.836311,0.041485
65,1566064904.702191,1566064904.716998,14.806986,0.007868
66,1566064905.702248,1566064905.717135,14.887571,-0.056744
67,1566064906.702236,1566064906.717067,14.830589,0.011921
68,1566064907.702245,1566064907.717190,14.945507,-0.008821
69,1566064908.702240,1566064908.717072,14.832973,0.005245
70,1566064909.702249,1566064909.717136,14.887333,-0.009298
71,1566064910.702192,1566064910.717001,14.809132,0.056744
72,1566064911.702249,1566064911.717155,14.906406,-0.056982
73,1566064912.702193,1566064912.717008,14.814854,0.055790
74,1566064913.702246,1566064913.717132,14.886618,-0.052452
75,1566064914.702235,1566064914.717044,14.808893,0.010490
76,1566064915.702245,1566064915.717202,14.956713,-0.010252
77,1566064916.702219,1566064916.717079,14.860392,0.026703
78,1566064917.702200,1566064917.717069,14.868498,0.018597
79,1566064918.702231,1566064918.717051,14.820576,-0.030518
80,1566064919.702198,1566064919.717084,14.885902,0.032663
81,1566064920.702237,1566064920.717054,14.817476,-0.038624
82,1566064921.702240,1566064921.717134,14.893293,-0.003815
83,1566064922.702236,1566064922.717056,14.820337,0.004768
84,1566064923.702248,1566064923.717196,14.947891,-0.012398
85,1566064924.702239,1566064924.717057,14.818430,0.009298
86,1566064925.702197,1566064925.717028,14.831305,0.041962
87,1566064926.702237,1566064926.717053,14.815807,-0.040293
88,1566064927.702247,1566064927.717134,14.887333,-0.010014
89,1566064928.702240,1566064928.717070,14.829397,0.006914
90,1566064929.702252,1566064929.717097,14.845371,-0.011683
91,1566064930.702240,1566064930.717057,14.816761,0.011683
92,1566064931.702249,1566064931.717162,14.912844,-0.009060
93,1566064932.702238,1566064932.717063,14.825821,0.011683
94,1566064933.702244,1566064933.717114,14.869928,-0.006199
95,1566064934.702250,1566064934.717075,14.824629,-0.006199
96,1566064935.702207,1566064935.717048,14.841318,0.042915
97,1566064936.702195,1566064936.716997,14.801741,0.012159
98,1566064937.702197,1566064937.717035,14.837265,-0.002384
99,1566064938.702237,1566064938.717043,14.806509,-0.039339
100,1566064939.702246,1566064939.717129,14.882326,-0.009537
101,1566064940.702241,1566064940.717045,14.803648,0.005245
102,1566064941.702194,1566064941.717084,14.889479,0.046492
103,1566064942.702234,1566064942.717079,14.844656,-0.039577
104,1566064943.702252,1566064943.717129,14.876842,-0.018358
105,1566064944.702237,1566064944.717052,14.815569,0.015497
106,1566064945.702244,1566064945.717197,14.952660,-0.007391
107,1566064946.702227,1566064946.717076,14.848948,0.017643
108,1566064947.702241,1566064947.717142,14.901161,-0.014067
109,1566064948.702225,1566064948.717073,14.848471,0.015974
110,1566064949.702252,1566064949.717106,14.854670,-0.026941
111,1566064950.702227,1566064950.717040,14.813185,0.025034
112,1566064951.702246,1566064951.717135,14.888763,-0.019312
113,1566064952.702224,1566064952.717048,14.823675,0.021935
114,1566064953.702194,1566064953.717031,14.837265,0.030041
115,1566064954.702236,1566064954.717070,14.834404,-0.041962
116,1566064955.702194,1566064955.717030,14.836311,0.041962
117,1566064956.702242,1566064956.717067,14.824152,-0.048399
118,1566064957.702249,1566064957.717181,14.932156,-0.006676
119,1566064958.702193,1566064958.717009,14.815807,0.056267
120,1566064959.702196,1566064959.717090,14.894247,-0.003099
121,1566064960.702175,1566064960.716998,14.823437,0.020981
122,1566064961.702198,1566064961.717086,14.888048,-0.023127
123,1566064962.702240,1566064962.717040,14.800787,-0.041485
124,1566064963.702247,1566064963.717153,14.905214,-0.007868
125,1566064964.702193,1566064964.716987,14.794111,0.054598
126,1566064965.702247,1566064965.717114,14.866829,-0.054359
127,1566064966.702204,1566064966.717133,14.929771,0.043631
128,1566064967.702211,1566064967.717113,14.902830,-0.007153
129,1566064968.702244,1566064968.717057,14.812708,-0.033379
130,1566064969.702245,1566064969.717130,14.884949,-0.001431
131,1566064970.702248,1566064970.717140,14.892340,-0.002384
132,1566064971.702192,1566064971.717013,14.821529,0.056028
133,1566064972.702202,1566064972.717124,14.922142,-0.010490
134,1566064973.702244,1566064973.717117,14.873028,-0.041246
135,1566064974.702239,1566064974.717068,14.828682,0.004530
136,1566064975.702195,1566064975.717087,14.891863,0.044346
137,1566064976.702212,1566064976.717093,14.881134,-0.017405
138,1566064977.702239,1566064977.717083,14.843464,-0.026941
139,1566064978.702245,1566064978.717038,14.793634,-0.005484
140,1566064979.702200,1566064979.717102,14.902115,0.044346
141,1566064980.702240,1566064980.717042,14.802933,-0.039339
142,1566064981.702195,1566064981.717092,14.897346,0.044823
143,1566064982.702240,1566064982.717067,14.827728,-0.045061
144,1566064983.702250,1566064983.717116,14.865875,-0.010729
145,1566064984.702244,1566064984.717042,14.798164,0.006199
146,1566064985.702204,1566064985.717108,14.904022,0.040293
147,1566064986.702195,1566064986.717046,14.850616,0.008583
148,1566064987.702196,1566064987.717170,14.973640,-0.000954
149,1566064988.702202,1566064988.717093,14.890909,-0.005722
150,1566064989.702258,1566064989.717179,14.920950,-0.055552
151,1566064990.702210,1566064990.717106,14.895201,0.047207
152,1566064991.702249,1566064991.717149,14.899731,-0.038624
153,1566064992.702247,1566064992.717117,14.869928,0.001907
154,1566064993.702204,1566064993.717081,14.876604,0.042677
155,1566064994.702195,1566064994.717118,14.923334,0.009537
156,1566064995.702202,1566064995.717134,14.931917,-0.006914
157,1566064996.702239,1566064996.717057,14.817715,-0.036955
158,1566064997.702202,1566064997.717283,15.080929,0.036478
159,1566064998.702189,1566064998.717109,14.919519,0.012875
160,1566064999.702218,1566064999.717235,15.017509,-0.028372
161,1566065000.702242,1566065000.717057,14.815092,-0.023842
162,1566065001.702196,1566065001.717111,14.914751,0.045538
163,1566065002.702248,1566065002.717073,14.825344,-0.051975
164,1566065003.702199,1566065003.717139,14.940262,0.049353
165,1566065004.702240,1566065004.717070,14.829874,-0.041723
