S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
0,1566064839.717255,1566064839.735202,17.947197,0.000000
1,1566064840.717030,1566064840.734640,17.610073,0.225306
2,1566064841.717011,1566064841.735069,18.058062,0.019073
3,1566064842.717078,1566064842.734707,17.629385,-0.066996
4,1566064843.717072,1566064843.734710,17.637968,0.005960
5,1566064844.717027,1566064844.735059,18.032789,0.045061
6,1566064845.717103,1566064845.734734,17.631531,-0.075817
7,1566064846.717025,1566064846.735044,18.018723,0.077248
8,1566064847.717116,1566064847.734788,17.671824,-0.091076
9,1566064848.717050,1566064848.735105,18.054962,0.066280
10,1566064849.717097,1566064849.734745,17.647505,-0.046968
11,1566064850.717069,1566064850.735113,18.043995,0.027657
12,1566064851.717036,1566064851.734645,17.608881,0.033617
13,1566064852.717205,1566064852.734827,17.622709,-0.168800
14,1566064853.717033,1566064853.735106,18.073559,0.171900
15,1566064854.717059,1566064854.734880,17.820835,-0.026226
16,1566064855.717021,1566064855.735042,18.020868,0.037670
17,1566064856.717034,1566064856.734679,17.645121,-0.012875
18,1566064857.717021,1566064857.735060,18.038750,0.013113
19,1566064858.717099,1566064858.734745,17.646074,-0.077963
20,1566064859.716983,1566064859.735004,18.020630,0.115633
21,1566064860.717196,1566064860.734831,17.634630,-0.212669
22,1566064861.717011,1566064861.734658,17.646551,0.184536
23,1566064862.717119,1566064862.735346,18.227577,-0.107050
24,1566064863.717014,1566064863.734642,17.627239,0.104189
25,1566064864.717097,1566064864.735162,18.064260,-0.082970
26,1566064865.716995,1566064865.734614,17.618656,0.101805
27,1566064866.717067,1566064866.735136,18.069029,-0.071526
28,1566064867.717010,1566064867.734615,17.605543,0.057459
29,1566064868.716963,1566064868.734584,17.621279,0.046492
30,1566064869.717000,1566064869.735113,18.112659,-0.037193
31,1566064870.717009,1566064870.734643,17.634153,-0.009060
32,1566064871.717408,1566064871.735414,18.006325,-0.398397
33,1566064872.717031,1566064872.734640,17.608881,0.376701
34,1566064873.717108,1566064873.735184,18.076181,-0.076532
35,1566064874.717022,1566064874.734623,17.601252,0.085831
36,1566064875.717208,1566064875.735359,18.151045,-0.186443
37,1566064876.717032,1566064876.734654,17.622709,0.176430
38,1566064877.717185,1566064877.734819,17.633677,-0.153780
39,1566064878.717013,1566064878.735039,18.025398,0.172377
40,1566064879.717184,1566064879.734913,17.728806,-0.171185
41,1566064880.717009,1566064880.735026,18.017292,0.175714
42,1566064881.717102,1566064881.734790,17.688036,-0.092983
43,1566064882.716975,1566064882.735002,18.026829,0.126839
44,1566064883.717108,1566064883.734716,17.607927,-0.133753
45,1566064884.717029,1566064884.734641,17.612219,0.079632
46,1566064885.717122,1566064885.735241,18.118858,-0.093222
47,1566064886.717044,1566064886.734656,17.611742,0.078201
48,1566064887.717153,1566064887.735385,18.232107,-0.109196
49,1566064888.717007,1566064888.734621,17.613888,0.146151
50,1566064889.717096,1566064889.735186,18.089533,-0.089169
51,1566064890.717029,1566064890.734636,17.607450,0.067472
52,1566064891.717188,1566064891.735180,17.991304,-0.159740
53,1566064892.716955,1566064892.734560,17.604828,0.233650
54,1566064893.717080,1566064893.734754,17.674446,-0.125170
55,1566064894.717014,1566064894.735029,18.015623,0.066042
56,1566064895.717167,1566064895.734850,17.683029,-0.153303
57,1566064896.717033,1566064896.735052,18.018723,0.133991
58,1566064897.717100,1566064897.734721,17.621517,-0.066519
59,1566064898.717004,1566064898.734856,17.852306,0.095844
60,1566064899.716999,1566064899.734701,17.701626,0.004530
61,1566064900.717025,1566064900.734642,17.616510,-0.025988
62,1566064901.717044,1566064901.734689,17.644405,-0.019073
63,1566064902.717036,1566064902.734655,17.618895,0.007868
64,1566064903.717001,1566064903.734640,17.638445,0.035286
65,1566064904.716964,1566064904.734571,17.606735,0.036955
66,1566064905.717100,1566064905.734764,17.664194,-0.135899
67,1566064906.717021,1566064906.734646,17.624855,0.078678
68,1566064907.717229,1566064907.734930,17.701149,-0.207186
69,1566064908.717038,1566064908.734651,17.613649,0.190973
70,1566064909.717105,1566064909.734764,17.658949,-0.066996
71,1566064910.716967,1566064910.734583,17.616749,0.138044
72,1566064911.717120,1566064911.734746,17.625570,-0.153780
73,1566064912.716973,1566064912.734584,17.610550,0.147104
74,1566064913.717101,1566064913.734754,17.652988,-0.128031
75,1566064914.717010,1566064914.734624,17.614126,0.091314
76,1566064915.717167,1566064915.734949,17.781258,-0.157356
77,1566064916.717046,1566064916.734660,17.614126,0.121832
78,1566064917.717034,1566064917.734707,17.672777,0.011444
79,1566064918.717018,1566064918.734629,17.611504,0.016212
80,1566064919.717048,1566064919.734700,17.651796,-0.030518
81,1566064920.717021,1566064920.734629,17.608404,0.027895
82,1566064921.717101,1566064921.734753,17.652273,-0.080585
83,1566064922.717022,1566064922.734635,17.612696,0.078917
84,1566064923.717163,1566064923.734975,17.811775,-0.140905
85,1566064924.717024,1566064924.734631,17.607450,0.139236
86,1566064925.716995,1566064925.734646,17.650604,0.028849
87,1566064926.717019,1566064926.734632,17.613411,-0.024080
88,1566064927.717100,1566064927.734879,17.778397,-0.081062
89,1566064928.717034,1566064928.734677,17.643213,0.066519
90,1566064929.717064,1566064929.734728,17.663717,-0.030756
91,1566064930.717022,1566064930.734626,17.604351,0.042439
92,1566064931.717100,1566064931.734795,17.694712,-0.078201
93,1566064932.717028,1566064932.734638,17.609835,0.071764
94,1566064933.717080,1566064933.734728,17.647743,-0.051737
95,1566064934.717039,1566064934.734667,17.627954,0.040770
96,1566064935.717016,1566064935.734717,17.700911,0.023603
97,1566064936.716962,1566064936.734569,17.606497,0.053406
98,1566064937.717002,1566064937.734678,17.675400,-0.040054
99,1566064938.717008,1566064938.734623,17.614365,-0.005960
100,1566064939.717093,1566064939.734803,17.709732,-0.084639
101,1566064940.717011,1566064940.734621,17.609119,0.081539
102,1566064941.717040,1566064941.734698,17.657995,-0.028133
103,1566064942.717034,1566064942.734653,17.619610,0.005722
104,1566064943.717096,1566064943.734728,17.632008,-0.061989
105,1566064944.717018,1566064944.734654,17.635822,0.077963
106,1566064945.717150,1566064945.734778,17.628193,-0.131845
107,1566064946.717042,1566064946.734658,17.616510,0.107765
108,1566064947.717108,1566064947.734764,17.656326,-0.065804
