Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
0,1566064839.702142,1566064839.702205,0.062704,0.000000
1,1566064840.702142,1566064840.702206,0.063419,-0.000477
2,1566064841.702140,1566064841.702205,0.064373,0.002146
3,1566064842.702083,1566064842.702159,0.075340,0.056982
4,1566064843.702080,1566064843.702152,0.071764,0.002861
5,1566064844.702136,1566064844.702202,0.065327,-0.055790
6,1566064845.702090,1566064845.702158,0.068426,0.046253
7,1566064846.702141,1566064846.702207,0.065804,-0.051022
8,1566064847.702084,1566064847.702155,0.071287,0.056982
9,1566064848.702086,1566064848.702160,0.073433,-0.002384
10,1566064849.702135,1566064849.702204,0.068665,-0.048637
11,1566064850.702085,1566064850.702152,0.066280,0.049591
12,1566064851.702088,1566064851.702159,0.071287,-0.002146
13,1566064852.702135,1566064852.702206,0.070572,-0.047445
14,1566064853.702090,1566064853.702157,0.066757,0.045061
15,1566064854.702082,1566064854.702155,0.072718,0.007629
16,1566064855.702142,1566064855.702207,0.065565,-0.059128
17,1566064856.702082,1566064856.702152,0.070333,0.059366
18,1566064857.702135,1566064857.702201,0.065565,-0.053167
19,1566064858.702088,1566064858.702159,0.071049,0.046968
20,1566064859.702086,1566064859.702155,0.068903,0.002146
21,1566064860.702134,1566064860.702205,0.070333,-0.048161
22,1566064861.702141,1566064861.702206,0.064850,-0.006676
23,1566064862.702130,1566064862.702200,0.069857,0.010729
24,1566064863.702128,1566064863.702193,0.064850,0.002146
25,1566064864.702126,1566064864.702197,0.071049,0.001907
26,1566064865.702128,1566064865.702192,0.063181,-0.002146
27,1566064866.702087,1566064866.702163,0.075340,0.041008
28,1566064867.702137,1566064867.702201,0.064850,-0.049114
29,1566064868.702084,1566064868.702154,0.070095,0.052691
30,1566064869.702082,1566064869.702151,0.069141,0.001669
31,1566064870.702139,1566064870.702202,0.062943,-0.057220
32,1566064871.702083,1566064871.702156,0.072956,0.056505
33,1566064872.702140,1566064872.702206,0.066042,-0.057459
34,1566064873.702080,1566064873.702153,0.072718,0.060320
35,1566064874.702140,1566064874.702205,0.065565,-0.059843
36,1566064875.702131,1566064875.702204,0.072956,0.009060
37,1566064876.702145,1566064876.702212,0.067234,-0.013828
38,1566064877.702140,1566064877.702212,0.072479,0.005007
39,1566064878.702138,1566064878.702203,0.064611,0.001192
40,1566064879.702127,1566064879.702199,0.072479,0.011683
41,1566064880.702137,1566064880.702202,0.065327,-0.010252
42,1566064881.702137,1566064881.702210,0.073195,0.000477
43,1566064882.702084,1566064882.702155,0.070572,0.052214
44,1566064883.702132,1566064883.702205,0.073195,-0.047922
45,1566064884.702137,1566064884.702203,0.066280,-0.004768
46,1566064885.702143,1566064885.702213,0.070333,-0.005960
47,1566064886.702133,1566064886.702195,0.061512,0.009537
48,1566064887.702130,1566064887.702200,0.070333,0.003338
49,1566064888.702140,1566064888.702205,0.064611,-0.010252
50,1566064889.702130,1566064889.702203,0.073433,0.010729
