Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
87,1566078283.007718,1566078283.007791,0.072956,-0.099998
88,1566078283.107713,1566078283.107780,0.067234,-0.099995
89,1566078283.207718,1566078283.207782,0.063658,-0.100005
90,1566078283.307722,1566078283.307804,0.082016,-0.100004
91,1566078283.407719,1566078283.407789,0.070095,-0.099997
92,1566078283.507712,1566078283.507783,0.070810,-0.099993
93,1566078283.607729,1566078283.607816,0.086784,-0.100017
94,1566078283.707711,1566078283.707778,0.066996,-0.099982
95,1566078283.807756,1566078283.807921,0.164747,-0.100045
96,1566078283.907715,1566078283.907783,0.068426,-0.099958
97,1566078284.007716,1566078284.007783,0.066519,-0.100002
98,1566078284.107712,1566078284.107782,0.069857,-0.099996
99,1566078284.207712,1566078284.207782,0.069857,-0.100000
100,1566078284.307716,1566078284.307785,0.068665,-0.100004
101,1566078284.407711,1566078284.407779,0.068188,-0.099995
102,1566078284.507711,1566078284.507784,0.072718,-0.100000
103,1566078284.607721,1566078284.607794,0.073433,-0.100009
104,1566078284.707714,1566078284.707783,0.068903,-0.099993
105,1566078284.807714,1566078284.807784,0.069857,-0.100000
106,1566078284.907715,1566078284.907786,0.070572,-0.100001
107,1566078285.007711,1566078285.007784,0.072479,-0.099996
108,1566078285.107714,1566078285.107787,0.072956,-0.100003
109,1566078285.207712,1566078285.207784,0.072002,-0.099998
110,1566078285.307714,1566078285.307786,0.072002,-0.100002
111,1566078285.407720,1566078285.407799,0.078678,-0.100006
112,1566078285.507722,1566078285.507791,0.069618,-0.100002
113,1566078285.607717,1566078285.607789,0.072002,-0.099995
114,1566078285.707714,1566078285.707790,0.076056,-0.099997
115,1566078285.807717,1566078285.807789,0.071764,-0.100003
116,1566078285.907716,1566078285.907783,0.066996,-0.099999
117,1566078286.007716,1566078286.007789,0.073671,-0.100000
118,1566078286.107715,1566078286.107784,0.069380,-0.099999
119,1566078286.207713,1566078286.207780,0.066757,-0.099998
120,1566078286.307717,1566078286.307790,0.072956,-0.100004
121,1566078286.407715,1566078286.407785,0.070333,-0.099998
122,1566078286.507713,1566078286.507787,0.074387,-0.099998
123,1566078286.607713,1566078286.607789,0.075579,-0.100001
124,1566078286.707717,1566078286.707785,0.067711,-0.100003
125,1566078286.807711,1566078286.807779,0.067472,-0.099994
126,1566078286.907715,1566078286.907792,0.077248,-0.100004
127,1566078287.007715,1566078287.007788,0.072718,-0.100000
128,1566078287.107712,1566078287.107785,0.072956,-0.099997
129,1566078287.207714,1566078287.207785,0.070572,-0.100002
130,1566078287.307716,1566078287.307791,0.075817,-0.100002
131,1566078287.407717,1566078287.407784,0.067234,-0.100001
132,1566078287.507712,1566078287.507780,0.068426,-0.099995
133,1566078287.607715,1566078287.607787,0.072241,-0.100003
134,1566078287.707716,1566078287.707785,0.069857,-0.100000
135,1566078287.807711,1566078287.807780,0.068903,-0.099996
136,1566078287.907713,1566078287.907780,0.067234,-0.100002
137,1566078288.007716,1566078288.007786,0.069380,-0.100004
138,1566078288.107712,1566078288.107784,0.072241,-0.099995
139,1566078288.207711,1566078288.207777,0.066757,-0.099999
140,1566078288.307776,1566078288.307835,0.059128,-0.100065
141,1566078288.407712,1566078288.407784,0.071764,-0.099936
142,1566078288.507711,1566078288.507777,0.066280,-0.099999
143,1566078288.607711,1566078288.607778,0.067234,-0.100000
144,1566078288.707711,1566078288.707778,0.066996,-0.100001
145,1566078288.807712,1566078288.807775,0.062943,-0.100000
146,1566078288.907712,1566078288.907780,0.067949,-0.100001
147,1566078289.007715,1566078289.007780,0.065088,-0.100003
148,1566078289.107764,1566078289.107824,0.059605,-0.100049
149,1566078289.207716,1566078289.207783,0.067711,-0.099952
150,1566078289.307714,1566078289.307778,0.063896,-0.099998
151,1566078289.407719,1566078289.407786,0.067234,-0.100005
152,1566078289.507719,1566078289.507793,0.073910,-0.100000
153,1566078289.607715,1566078289.607776,0.061512,-0.099996
154,1566078289.707771,1566078289.707833,0.061274,-0.100057
155,1566078289.807712,1566078289.807777,0.065565,-0.099940
156,1566078289.907715,1566078289.907791,0.075579,-0.100003
157,1566078290.007716,1566078290.007785,0.068426,-0.100001
158,1566078290.107714,1566078290.107782,0.068188,-0.099998
159,1566078290.207715,1566078290.207786,0.071049,-0.100002
160,1566078290.307711,1566078290.307775,0.064135,-0.099996
161,1566078290.407790,1566078290.407865,0.074625,-0.100079
162,1566078290.507722,1566078290.507790,0.067711,-0.099932
163,1566078290.607720,1566078290.607787,0.066519,-0.099998
164,1566078290.707718,1566078290.707790,0.072002,-0.099998
165,1566078290.807716,1566078290.807782,0.066280,-0.099998
166,1566078290.907715,1566078290.907784,0.068426,-0.099999
167,1566078291.007719,1566078291.007784,0.065565,-0.100004
168,1566078291.107716,1566078291.107775,0.059366,-0.099997
169,1566078291.207712,1566078291.207768,0.056267,-0.099996
170,1566078291.307715,1566078291.307779,0.064611,-0.100003
171,1566078291.407712,1566078291.407788,0.075579,-0.099998
172,1566078291.507719,1566078291.507785,0.066042,-0.100007
173,1566078291.607717,1566078291.607793,0.076056,-0.099998
174,1566078291.707713,1566078291.707783,0.069857,-0.099996
175,1566078291.807717,1566078291.807794,0.076532,-0.100004
176,1566078291.907714,1566078291.907786,0.072479,-0.099996
177,1566078292.007717,1566078292.007789,0.072002,-0.100003
178,1566078292.107713,1566078292.107781,0.068665,-0.099996
179,1566078292.207712,1566078292.207780,0.067949,-0.100000
180,1566078292.307711,1566078292.307781,0.069857,-0.099999
181,1566078292.407714,1566078292.407792,0.078440,-0.100003
182,1566078292.507720,1566078292.507818,0.098944,-0.100006
183,1566078292.607711,1566078292.607785,0.073910,-0.099991
184,1566078292.707712,1566078292.707777,0.065088,-0.100001
185,1566078292.807718,1566078292.807787,0.069857,-0.100005
186,1566078292.907712,1566078292.907782,0.070095,-0.099994
187,1566078293.007712,1566078293.007781,0.068903,-0.100000
188,1566078293.107712,1566078293.107783,0.071049,-0.100000
189,1566078293.207713,1566078293.207783,0.069857,-0.100001
190,1566078293.307722,1566078293.307801,0.079870,-0.100009
191,1566078293.407710,1566078293.407782,0.071287,-0.099989
192,1566078293.507712,1566078293.507784,0.071526,-0.100002
193,1566078293.607717,1566078293.607795,0.078678,-0.100004
194,1566078293.707713,1566078293.707787,0.073195,-0.099997
195,1566078293.807717,1566078293.807799,0.081778,-0.100003
196,1566078293.907713,1566078293.907789,0.076056,-0.099996
197,1566078294.007714,1566078294.007802,0.087500,-0.100001
198,1566078294.107715,1566078294.107783,0.067949,-0.100001
199,1566078294.207714,1566078294.207790,0.075340,-0.099999
200,1566078294.307714,1566078294.307783,0.069141,-0.100000
201,1566078294.407715,1566078294.407783,0.068426,-0.100001
202,1566078294.507719,1566078294.507798,0.078440,-0.100004
203,1566078294.607714,1566078294.607784,0.069380,-0.099995
204,1566078294.707711,1566078294.707785,0.074148,-0.099997
205,1566078294.807712,1566078294.807784,0.071764,-0.100001
206,1566078294.907715,1566078294.907786,0.070572,-0.100003
207,1566078295.007715,1566078295.007784,0.069618,-0.099999
208,1566078295.107713,1566078295.107786,0.072956,-0.099998
209,1566078295.207720,1566078295.207799,0.079632,-0.100007
210,1566078295.307711,1566078295.307784,0.073433,-0.099991
211,1566078295.407716,1566078295.407786,0.069618,-0.100006
212,1566078295.507720,1566078295.507836,0.116587,-0.100003
213,1566078295.607710,1566078295.607779,0.069380,-0.099990
214,1566078295.707726,1566078295.707803,0.077724,-0.100016
