S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
45,1566078278.822796,1566078278.840980,18.184185,-0.100058
46,1566078278.922797,1566078278.940404,17.607212,-0.100001
47,1566078279.022735,1566078279.040866,18.130779,-0.099938
48,1566078279.122774,1566078279.140455,17.680645,-0.100039
49,1566078279.222775,1566078279.240415,17.639160,-0.100002
50,1566078279.322769,1566078279.340826,18.056393,-0.099994
51,1566078279.422658,1566078279.440341,17.682552,-0.099889
52,1566078279.522714,1566078279.540837,18.122196,-0.100056
53,1566078279.622746,1566078279.640360,17.614126,-0.100031
54,1566078279.722686,1566078279.740771,18.084526,-0.099941
55,1566078279.822979,1566078279.840582,17.602921,-0.100293
56,1566078279.922655,1566078279.940738,18.082619,-0.099676
57,1566078280.022759,1566078280.040445,17.686605,-0.100104
58,1566078280.122720,1566078280.140421,17.701149,-0.099961
59,1566078280.222673,1566078280.241016,18.342257,-0.099954
60,1566078280.322639,1566078280.340335,17.695904,-0.099966
61,1566078280.422830,1566078280.440680,17.849207,-0.100191
62,1566078280.522697,1566078280.540387,17.689705,-0.099867
63,1566078280.622669,1566078280.640307,17.638445,-0.099972
64,1566078280.722684,1566078280.740335,17.651558,-0.100015
65,1566078280.822712,1566078280.840373,17.661095,-0.100028
66,1566078280.922675,1566078280.940355,17.679691,-0.099963
67,1566078281.022672,1566078281.040371,17.698288,-0.099997
68,1566078281.122741,1566078281.140348,17.606735,-0.100069
69,1566078281.222803,1566078281.240447,17.643213,-0.100062
70,1566078281.322734,1566078281.340409,17.675161,-0.099930
71,1566078281.422766,1566078281.440616,17.849922,-0.100032
72,1566078281.522648,1566078281.540311,17.663240,-0.099882
73,1566078281.622734,1566078281.640336,17.602205,-0.100086
74,1566078281.722650,1566078281.740310,17.660141,-0.099916
75,1566078281.822786,1566078281.840393,17.607450,-0.100136
76,1566078281.922682,1566078281.940373,17.691851,-0.099896
77,1566078282.022738,1566078282.040342,17.603874,-0.100056
78,1566078282.122768,1566078282.140363,17.594576,-0.100030
79,1566078282.222785,1566078282.240393,17.608881,-0.100016
80,1566078282.322695,1566078282.340401,17.705917,-0.099911
81,1566078282.422928,1566078282.440676,17.747641,-0.100233
82,1566078282.522994,1566078282.540771,17.776966,-0.100066
83,1566078282.622770,1566078282.640400,17.630339,-0.099776
84,1566078282.722741,1566078282.740358,17.616987,-0.099971
85,1566078282.822679,1566078282.840355,17.676592,-0.099938
86,1566078282.922702,1566078282.940418,17.715693,-0.100023
87,1566078283.022674,1566078283.040405,17.730474,-0.099972
88,1566078283.122663,1566078283.140350,17.686367,-0.099989
89,1566078283.222745,1566078283.240480,17.734528,-0.100082
90,1566078283.322768,1566078283.340401,17.633438,-0.100023
91,1566078283.422763,1566078283.440397,17.634630,-0.099995
92,1566078283.522720,1566078283.540387,17.666817,-0.099958
93,1566078283.622891,1566078283.640617,17.725945,-0.100170
94,1566078283.722652,1566078283.740342,17.689705,-0.099761
95,1566078283.822967,1566078283.840581,17.614365,-0.100315
96,1566078283.922780,1566078283.940435,17.654896,-0.099813
97,1566078284.022772,1566078284.040549,17.776728,-0.099992
98,1566078284.122670,1566078284.140361,17.690182,-0.099898
99,1566078284.222816,1566078284.240452,17.635584,-0.100146
100,1566078284.322688,1566078284.340386,17.698050,-0.099871
101,1566078284.422701,1566078284.440424,17.722845,-0.100013
102,1566078284.522827,1566078284.540457,17.629385,-0.100127
103,1566078284.622789,1566078284.640431,17.642498,-0.099962
104,1566078284.722794,1566078284.740417,17.623663,-0.100005
105,1566078284.822761,1566078284.840455,17.693996,-0.099968
106,1566078284.922789,1566078284.940447,17.657757,-0.100028
107,1566078285.022810,1566078285.040505,17.695427,-0.100021
108,1566078285.122811,1566078285.140408,17.596960,-0.100001
109,1566078285.222745,1566078285.240495,17.750025,-0.099934
110,1566078285.322673,1566078285.340381,17.708063,-0.099929
111,1566078285.422714,1566078285.440414,17.700434,-0.100040
112,1566078285.522676,1566078285.540449,17.772913,-0.099963
113,1566078285.622806,1566078285.640449,17.643213,-0.100129
114,1566078285.722720,1566078285.740421,17.700195,-0.099915
115,1566078285.822854,1566078285.840539,17.685175,-0.100134
116,1566078285.922758,1566078285.940367,17.608643,-0.099904
117,1566078286.022699,1566078286.040379,17.680168,-0.099941
118,1566078286.122638,1566078286.140358,17.719984,-0.099939
119,1566078286.222816,1566078286.240423,17.607689,-0.100177
120,1566078286.322757,1566078286.340476,17.718315,-0.099942
121,1566078286.422772,1566078286.440382,17.609119,-0.100015
122,1566078286.522714,1566078286.540347,17.632961,-0.099941
123,1566078286.622798,1566078286.640438,17.639399,-0.100084
124,1566078286.722769,1566078286.740377,17.608881,-0.099970
125,1566078286.822730,1566078286.840373,17.642975,-0.099962
126,1566078286.922954,1566078286.940801,17.847300,-0.100223
127,1566078287.022662,1566078287.040364,17.702579,-0.099708
128,1566078287.122802,1566078287.140418,17.615080,-0.100141
129,1566078287.222680,1566078287.240328,17.647743,-0.099878
130,1566078287.322784,1566078287.340516,17.731905,-0.100104
131,1566078287.422750,1566078287.440396,17.646313,-0.099965
132,1566078287.522670,1566078287.540375,17.704248,-0.099921
133,1566078287.622674,1566078287.640339,17.664909,-0.100004
134,1566078287.722591,1566078287.740260,17.668724,-0.099917
135,1566078287.822834,1566078287.840420,17.586946,-0.100242
136,1566078287.922834,1566078287.940453,17.619133,-0.100000
137,1566078288.022583,1566078288.040227,17.643929,-0.099749
138,1566078288.122578,1566078288.140238,17.660141,-0.099995
139,1566078288.222543,1566078288.240203,17.659903,-0.099965
140,1566078288.322637,1566078288.340287,17.649889,-0.100094
141,1566078288.422658,1566078288.440321,17.663240,-0.100021
142,1566078288.522762,1566078288.540377,17.615080,-0.100104
143,1566078288.622736,1566078288.640354,17.618418,-0.099974
144,1566078288.722676,1566078288.740356,17.680645,-0.099940
145,1566078288.822655,1566078288.840322,17.666340,-0.099980
146,1566078288.922655,1566078288.940323,17.668009,-0.100000
147,1566078289.022660,1566078289.040332,17.672062,-0.100004
148,1566078289.122640,1566078289.140300,17.659426,-0.099981
149,1566078289.222645,1566078289.240317,17.671585,-0.100005
150,1566078289.322580,1566078289.340263,17.682314,-0.099935
151,1566078289.422674,1566078289.440270,17.596722,-0.100093
152,1566078289.522665,1566078289.540370,17.704487,-0.099992
153,1566078289.622649,1566078289.640302,17.653465,-0.099984
154,1566078289.722618,1566078289.740265,17.647028,-0.099969
